Id,tipo,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,diferenciais,churrasqueira,estacionamento,piscina,playground,quadra,s_festas,s_jogos,s_ginastica,sauna,vista_mar,preco
2000,Casa,Imbiribeira,Imobiliaria,3,3,5,223,167,piscina e copa,0,0,1,0,0,0,0,0,0,0,1000000.0
2001,Apartamento,Casa Amarela,Imobiliaria,4,4,2,157,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,680000.0
2002,Apartamento,Encruzilhada,Imobiliaria,3,1,0,53,0,nenhum,0,0,0,0,0,0,0,0,0,0,450000.0
2003,Apartamento,Boa Viagem,Imobiliaria,4,3,2,149,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1080000.0
2004,Apartamento,Rosarinho,Imobiliaria,2,1,1,54,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,350000.0
2005,Apartamento,Boa Vista,Imobiliaria,3,0,1,130,0,playground,0,0,0,1,0,0,0,0,0,0,490000.0
2006,Apartamento,Rosarinho,Imobiliaria,4,2,0,105,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,680000.0
2007,Apartamento,Espinheiro,Imobiliaria,3,1,1,124,0,nenhum,0,0,0,0,0,0,0,0,0,0,390000.0
2008,Apartamento,Boa Viagem,Imobiliaria,4,4,3,170,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1350000.0
2009,Apartamento,Boa Viagem,Imobiliaria,3,1,1,72,0,nenhum,0,0,0,0,0,0,0,0,0,0,400000.0
2010,Apartamento,Boa Viagem,Imobiliaria,4,3,2,125,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,980000.0
2011,Apartamento,Boa Viagem,Imobiliaria,4,4,3,150,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,1200000.0
2012,Apartamento,Boa Viagem,Imobiliaria,2,0,1,72,0,nenhum,0,0,0,0,0,0,0,0,0,0,215000.0
2013,Apartamento,Boa Viagem,Imobiliaria,1,1,2,92,22,sauna e playground,0,0,0,1,0,0,0,0,1,0,750000.0
2014,Apartamento,Boa Viagem,Imobiliaria,3,1,2,120,0,nenhum,0,0,0,0,0,0,0,0,0,0,580000.0
2015,Apartamento,Boa Vista,Imobiliaria,4,3,4,500,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1500000.0
2016,Apartamento,Tamarineira,Imobiliaria,3,1,1,75,0,nenhum,0,0,0,0,0,0,0,0,0,0,300000.0
2017,Apartamento,Gracas,Imobiliaria,3,1,1,104,0,nenhum,0,0,0,0,0,0,0,0,0,0,420000.0
2018,Apartamento,Madalena,Imobiliaria,3,1,1,135,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,560000.0
2019,Apartamento,Boa Viagem,Imobiliaria,3,1,2,82,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,489000.0
2020,Apartamento,Parnamirim,Imobiliaria,3,3,3,198,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,1300000.0
2021,Apartamento,Madalena,Imobiliaria,3,1,1,67,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,380000.0
2022,Apartamento,Boa Viagem,Imobiliaria,4,2,2,145,0,piscina e quadra poliesportiva,0,0,1,0,1,0,0,0,0,0,690000.0
2023,Apartamento,Boa Viagem,Imobiliaria,3,2,2,163,110,salao de festas,0,0,0,0,0,1,0,0,0,0,700000.0
2024,Apartamento,Boa Viagem,Imobiliaria,3,1,0,100,20,nenhum,0,0,0,0,0,0,0,0,0,0,400000.0
2025,Apartamento,Gracas,Imobiliaria,4,1,2,209,117,campo de futebol e playground,0,0,0,1,1,0,0,0,0,0,690000.0
2026,Apartamento,S Jose,Imobiliaria,4,4,3,247,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,2200000.0
2027,Apartamento,Boa Viagem,Imobiliaria,3,1,1,65,10,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,370000.0
2028,Apartamento,Boa Viagem,Imobiliaria,3,1,2,88,42,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,579000.0
2029,Apartamento,Setubal,Imobiliaria,2,0,1,50,0,piscina e estacionamento visitantes,0,1,1,0,0,0,0,0,0,0,265000.0
2030,Apartamento,Boa Viagem,Imobiliaria,3,0,0,109,0,nenhum,0,0,0,0,0,0,0,0,0,0,300000.0
2031,Apartamento,Boa Viagem,Imobiliaria,4,1,2,80,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,470000.0
2032,Apartamento,Boa Viagem,Imobiliaria,4,1,1,150,0,nenhum,0,0,0,0,0,0,0,0,0,0,900000.0
2033,Apartamento,Boa Viagem,Imobiliaria,3,1,2,97,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,814000.0
